emp_no,birth_date,first_name,last_name,gender,hire_date
498755,1961-03-25,Tru,Chiola,M,1992-02-26
498754,1960-10-16,Basant,Matzke,M,1985-10-30
498753,1955-06-24,Slavian,Miyakawa,M,1990-12-20
498752,1952-04-30,Alassane,Bashian,M,1986-02-08
498751,1955-09-16,Chrisa,Kroft,F,1990-09-17
498750,1956-04-14,Shaunak,Kavraki,F,1987-09-21
498749,1958-02-21,Zhenbing,Senzako,M,1991-10-19
498748,1954-07-30,Doowon,Ananiadou,F,1985-03-05
498747,1957-04-09,Chiradeep,Sooriamurthi,F,1989-02-27
498746,1956-11-08,Heeju,Leppanen,M,1985-06-04
498745,1952-06-08,Fen,Gustavson,M,1993-05-16
498744,1958-08-05,Turgut,Brobst,M,1994-09-08
498743,1960-06-20,Shmuel,Honiden,M,1993-08-26
498742,1963-06-06,Bernt,Pileggi,M,1990-05-29
498741,1956-04-28,Hercules,Demri,M,1985-12-21
498740,1963-12-18,Paris,Levergood,M,1998-01-03
498739,1963-08-22,Vincent,Lorin,M,1986-09-11
498738,1959-09-10,Kyoichi,Ciolek,M,1985-09-11
498737,1953-06-27,Sachin,Schaap,F,1988-07-11
498736,1955-10-01,Yuping,Hofman,F,1986-09-03
498735,1957-06-18,Nishit,Gire,F,1995-03-12
498734,1953-04-26,Debatosh,Couchot,M,1989-03-14
498733,1954-08-01,Yongmin,Spelt,M,1991-02-12
498732,1963-11-29,Kazuhide,Crabtree,F,1988-12-06
498731,1952-02-05,Hilary,Gronowski,F,1987-08-04
498730,1964-08-11,Shuji,Zultner,F,1992-04-01
498729,1954-02-07,Eberhardt,Servieres,M,1986-05-29
498728,1958-04-06,Danel,Waeselynck,F,1996-11-15
498727,1963-03-10,Werner,Beznosov,F,1986-08-20
498726,1961-04-13,Yonghong,Binding,M,1985-03-15
498725,1953-04-08,Leif,Brookner,M,1986-04-14
498724,1953-06-10,Fei,Shobatake,F,1995-02-26
498723,1955-12-22,Wojceich,Vernadat,M,1987-07-31
498722,1961-11-23,Christophe,Ambroszkiewicz,M,1987-01-26
498721,1964-07-18,Utpal,Daescu,F,1994-02-04
498720,1959-05-19,Sorina,Koblitz,F,1987-04-12
498719,1954-09-08,Cordelia,Zockler,M,1986-05-21
498718,1963-03-08,Chiranjit,Frolund,M,1986-05-23
498717,1963-01-16,Anneke,Kavvadias,M,1991-05-24
498716,1956-07-27,Owen,Milicia,M,1990-11-21
498715,1963-10-17,Ghassan,Ramsey,M,1991-05-02
498714,1964-05-16,Percy,Muniz,M,1985-05-03
498713,1960-11-23,Radhia,Picci,F,1988-12-29
498712,1964-07-17,Vidar,Kohling,M,1987-01-14
498711,1956-04-06,Abdelkader,Francisci,F,1992-04-17
498710,1954-06-15,Zhongwei,Luef,M,1988-06-20
498709,1959-10-28,Kensyu,Vecchi,F,1987-02-15
498708,1961-10-05,Honglan,Siegrist,M,1985-12-27
498707,1958-12-31,Arlette,Basagni,F,1989-10-11
498706,1960-02-29,IEEE,Limongiello,M,1988-04-19
498705,1953-07-07,Valery,Lovengreen,M,1994-06-22
498704,1958-05-09,Odinaldo,Gire,M,1986-07-26
498703,1961-08-07,Abdelaziz,Vigier,M,1992-02-21
498702,1953-06-14,Mizuhito,Heijenga,M,1991-12-06
498701,1962-03-15,Ishfaq,Claffy,M,1988-01-09
498700,1956-12-27,Souichi,Emmart,F,1988-07-02
498699,1953-04-22,Hilari,Zeleznik,M,1985-09-25
498698,1952-02-14,Adel,Terekhov,M,1994-01-21
498697,1962-09-21,Almudena,Gill,F,1985-05-22
498696,1954-06-12,Macha,Zockler,F,1988-03-10
498695,1956-07-02,Ronnie,Chorvat,M,1996-12-26
498694,1962-03-13,Atreyi,Bernardinello,M,1995-11-10
498693,1957-09-06,Baocai,Antonakopoulos,M,1987-09-26
498692,1964-05-04,Shigeu,Luef,F,1988-04-03
498691,1955-05-24,Feixiong,Dalton,F,1993-05-24
498690,1962-10-10,Cheong,Daescu,M,1989-01-06
498689,1954-10-23,Marko,Hatcliff,F,1985-06-03
498688,1955-11-14,Weijing,Wixon,F,1989-07-10
498687,1959-07-28,Mohua,Verhaegen,M,1990-03-18
498686,1959-12-19,Frazer,Meriste,M,1992-12-12
498685,1953-07-08,Zeljko,Kusakari,F,1991-08-14
498684,1955-05-08,Olivera,Argence,M,1987-01-11
498683,1962-12-23,Monique,Hennings,M,1989-05-02
498682,1964-09-25,Odinaldo,Bierbaum,M,1991-05-22
498681,1963-08-31,Shawna,Chvatal,M,1996-12-04
498680,1955-10-11,Jaewon,Vadhan,M,1987-09-28
498679,1962-06-21,Tuval,Back,M,1990-01-24
498678,1956-06-01,Janalee,Kalefeld,M,1991-01-11
498677,1963-01-12,Aiichiro,Lorin,M,1988-07-31
498676,1960-08-14,Hyuckchul,Jiang,F,1999-08-10
498675,1952-06-30,Toshimori,Thummel,F,1996-09-12
498674,1959-12-24,Mayuko,Lovengreen,F,1992-01-27
498673,1963-08-02,Arve,Condotta,M,1989-12-09
498672,1955-08-13,Hisao,Orlowski,F,1994-06-08
498671,1953-09-01,Anyuan,Peron,M,1991-12-07
498670,1952-02-04,Aram,Menyhert,F,1988-09-03
498669,1962-08-19,Elvia,Zeilberger,M,1986-06-09
498668,1962-05-12,Shuky,Luon,F,1986-10-22
498667,1960-12-06,Jackson,Remmers,F,1986-05-15
498666,1953-05-29,Dmitry,Bellmore,F,1993-09-16
498665,1959-02-13,Yurij,Dengi,M,1986-11-06
498664,1955-01-19,Serge,Vural,F,1987-10-25
498663,1952-10-08,Mostafa,Merle,M,1991-06-22
498662,1956-07-12,Ayakannu,Pell,F,1996-01-10
498661,1961-12-20,Boutros,Hasenauer,F,1989-03-23
498660,1954-11-24,Vojin,Neiman,M,1985-08-19
498659,1954-06-29,Paraskevi,Lorch,F,1991-11-17
498658,1959-07-26,Feipei,Percebois,M,1986-09-18
498657,1954-12-17,Ebbe,Hainaut,M,1988-09-12
498656,1962-05-02,Jessie,Pietrzykowski,M,1990-12-09
498655,1959-10-24,Zhonghua,Gaughan,M,1991-06-22
498654,1957-04-24,Subhrajyoti,Rosay,M,1997-05-09
498653,1955-12-04,LiMin,Raoux,F,1987-02-18
498652,1963-04-30,Patricia,Bamford,M,1989-10-10
498651,1962-03-13,Djenana,Serre,M,1986-02-04
498650,1963-06-29,Jaques,Danley,M,1986-05-12
498649,1953-03-29,Sahrah,Camurati,M,1998-05-23
498648,1959-11-10,Yuichiro,Olivero,M,1986-08-16
498647,1961-03-05,Anoosh,Luff,F,1988-01-20
498646,1957-10-25,Zvonko,Lung,F,1989-03-09
498645,1959-05-04,Itzchak,Mitchem,F,1985-11-10
498644,1956-10-10,Yunming,McDermid,M,1986-07-14
498643,1954-07-29,Krisda,Vitiello,M,1990-04-25
498642,1955-01-12,Nidapan,Herber,M,1990-05-03
498641,1959-10-12,Mechthild,Isaak,M,1986-03-14
498640,1958-02-01,Kwangyoen,Szmurlo,F,1985-04-08
498639,1954-12-23,Bojan,Zastre,M,1986-08-05
498638,1957-06-20,Dung,Pappas,M,1996-01-25
498637,1964-09-25,Mats,Luck,F,1991-07-18
498636,1960-01-18,Arnd,Eastman,M,1986-09-09
498635,1965-01-09,Florian,Pezzoli,F,1986-09-21
498634,1964-02-17,Heping,Alpin,M,1987-12-14
498633,1958-02-11,Xiahua,Simmen,F,1992-06-13
498632,1962-02-22,Piyush,Backhouse,F,1990-09-27
498631,1962-01-24,Herbert,Kalsbeek,M,1986-06-07
498630,1959-10-02,Babette,Peot,M,1997-01-19
498629,1952-06-01,Toney,Bala,M,1989-03-12
498628,1955-08-03,Wanqing,Dulay,M,1988-06-29
498627,1953-07-19,Candido,Danecki,F,1988-09-02
498626,1962-11-12,Gianluca,Middleton,M,1989-07-19
498625,1956-05-10,Pranas,Piancastelli,F,1988-04-08
498624,1964-09-08,Berna,Peral,F,1997-09-03
498623,1953-01-03,Tianruo,Standera,M,1998-01-10
498622,1953-04-21,Paddy,Birrer,M,1987-03-03
498621,1955-09-07,Elvis,Zykh,M,1993-08-31
498620,1963-12-22,Zongyan,Grabner,F,1991-09-13
498619,1955-11-28,Prodip,Setlzner,F,1987-01-15
498618,1958-04-23,Garnet,Szmurlo,F,1995-12-01
498617,1955-03-24,Udi,Billawala,M,1986-12-20
498616,1964-11-29,Tru,Suomi,M,1990-06-10
498615,1962-09-16,Ayonca,Lund,F,1990-03-06
498614,1957-11-01,Sudhanshu,Merro,M,1986-12-30
498613,1953-01-16,Adas,Hofmeyr,M,1986-01-02
498612,1953-06-13,Gritta,Eterovic,M,1995-09-08
498611,1959-05-28,Tse,Lortz,M,1988-07-06
498610,1953-06-13,Hidekazu,Blokdijk,M,1996-12-04
498609,1961-10-12,Hideyuki,Cherinka,F,1988-05-02
498608,1964-10-15,Amalendu,Litvinov,M,1985-08-20
498607,1952-07-01,Zhiguo,Zuberek,F,1985-10-31
498606,1956-09-17,Torsten,Suessmith,M,1985-04-16
498605,1960-09-10,Hitomi,Naudin,M,1986-08-18
498604,1960-03-12,Jiong,Gornas,M,1993-06-29
498603,1963-10-30,Ziva,Fontet,F,1993-03-25
498602,1963-10-03,Jaroslava,Hertweck,F,1988-11-08
498601,1955-09-14,Aran,Antonisse,M,1991-02-09
498600,1961-11-08,Takahiro,Mayerwieser,M,1995-08-05
498599,1957-11-18,Marc,Awdeh,M,1986-07-25
498598,1957-05-31,Martijn,Debuse,F,1992-09-30
498597,1960-08-14,Gino,Vesel,M,1995-09-22
498596,1959-04-22,Zorica,Ghazalie,F,1994-03-24
498595,1961-05-01,Bezalel,Backhouse,M,1990-12-26
498594,1955-02-04,Tadanori,Christ,M,1988-07-22
498593,1952-03-12,Sibyl,Cyre,F,1990-09-04
498592,1961-03-12,Fumitake,Zielinski,M,1989-10-02
498591,1958-04-05,Heng,Vidya,M,1985-11-10
498590,1956-03-28,Haldun,Melski,F,1989-05-31
498589,1953-02-06,Shunichi,Escriba,M,1995-02-15
498588,1952-09-20,Haldun,Simmen,M,1992-09-19
498587,1962-03-08,Shao,Gecsel,M,1989-03-02
498586,1962-03-07,Valdiodio,Hiroyama,M,1987-04-05
498585,1957-10-17,Magdalena,Katalagarianos,M,1989-06-16
498584,1954-06-02,Youssef,Remmers,M,1990-09-30
498583,1961-04-24,Juichirou,Angot,F,1992-09-28
498582,1963-12-20,Mihalis,Christ,M,1993-08-29
498581,1957-06-26,Kiyokazu,Talmon,M,1992-07-14
498580,1963-07-22,Martial,Schwartzbauer,F,1988-09-28
498579,1962-09-18,Yongmao,Shinomoto,F,1987-04-06
498578,1960-08-21,Lakshmi,Danlos,M,1985-07-15
498577,1956-08-27,Yannis,Rosen,M,1985-12-04
498576,1959-10-18,Keung,Chiodo,F,1992-03-04
498575,1952-11-12,Masadi,Lienhardt,M,1989-02-03
498574,1953-04-23,Brewster,Makrucki,M,1987-03-18
498573,1957-06-15,Theron,Reinhard,F,1990-05-17
498572,1954-07-24,Constantino,Litvinov,F,1994-08-02
498571,1962-12-07,Mona,Schmiedel,M,1987-07-31
498570,1953-06-02,Dannz,Heemskerk,M,1992-11-02
498569,1964-03-02,Ranan,Perfilyeva,M,1999-04-27
498568,1960-10-15,Valeri,Ranka,M,1994-08-11
498567,1964-06-13,Nimmagadda,Brookner,M,1985-09-25
498566,1956-05-30,Vojin,Ferretti,M,1993-01-15
498565,1959-03-29,Dietrich,Lung,F,1985-06-26
498564,1964-09-18,Mohd,Doering,M,1991-03-16
498563,1962-07-22,Neelam,Brender,M,1986-09-22
498562,1955-03-15,Michaela,Wossner,M,1992-05-09
498561,1953-12-06,Dines,Shanbhogue,M,1988-03-11
498560,1960-09-18,Francesca,Schaap,M,1993-09-12
498559,1954-10-18,Lech,Hertweck,M,1988-11-15
498558,1958-09-16,Katsuyuki,Heuser,F,1992-01-28
498557,1957-06-08,Kazuhiko,Lukaszewicz,M,1985-06-15
498556,1955-02-07,Subhankar,Brlek,M,1992-03-03
498555,1958-06-20,Weidon,Basart,F,1989-02-04
498554,1964-11-27,Munehiko,Iisaka,M,1996-12-13
498553,1961-06-04,Stella,Kemmerer,M,1988-05-07
498552,1958-04-12,Ibibia,Grospietsch,F,1989-07-11
498551,1959-01-30,Fumiya,Socorro,F,1988-09-16
498550,1953-11-18,Lijia,Pelz,M,1992-07-22
498549,1957-05-28,Froduald,Lienhardt,M,1988-01-12
498548,1963-08-23,Hugh,Bernatsky,M,1986-06-30
498547,1956-11-18,Subbu,Jeong,F,1994-02-03
498546,1954-07-19,Marsal,Bharadwaj,F,1987-05-24
498545,1955-11-27,Junsik,Casley,M,1993-08-26
498544,1964-02-13,Brigham,Crouzet,F,1987-07-08
498543,1961-08-16,Greger,Lichtman,M,1989-06-09
498542,1955-10-13,Adas,Rajcani,M,1989-12-02
498541,1959-06-05,Yagil,Leivant,M,1992-01-31
498540,1962-04-19,Bikash,Saoudi,F,1991-05-08
498539,1964-08-30,Vincent,Magalhaes,F,1994-11-04
498538,1958-01-08,Susuma,Kalafatis,M,1986-07-15
498537,1959-06-05,Muneo,Sabnani,M,1986-10-20
498536,1960-09-13,Haldon,Oberman,M,1986-06-06
498535,1952-04-10,Khoa,Birrer,M,1993-06-10
498534,1961-06-27,Shigenori,Dolinsky,F,1987-03-02
498533,1956-01-09,Kazuhiro,Makrucki,M,1987-04-29
498532,1957-10-23,Yinlin,Porenta,M,1988-04-11
498531,1953-08-06,Mori,Haddadi,F,1985-09-26
498530,1956-07-15,Turgut,Harnett,F,1988-06-26
498529,1958-12-07,Toshiki,Spell,M,1988-07-10
498528,1958-03-10,Ung,Macedo,M,1994-01-26
498527,1953-11-02,Faiza,Keohane,M,1987-05-15
498526,1953-11-24,Vasilii,Decleir,F,1990-08-22
498525,1958-03-23,Kazuhisa,Kopetz,F,1988-08-15
498524,1957-02-21,Lidong,Plesums,F,1998-09-02
498523,1963-08-20,Taizo,Anger,M,1992-02-14
498522,1962-10-23,Anwar,Shinomoto,M,1987-04-01
498521,1953-11-12,Deborah,Perna,F,1988-05-05
498520,1964-02-03,Harngdar,Rousseau,M,1992-06-19
498519,1954-02-23,Tetsushi,Beausoleil,M,1989-04-24
498518,1957-07-27,Felicidad,Lammel,M,1997-06-05
498517,1952-08-11,Joydip,Hanabata,F,1987-03-15
498516,1955-02-11,Fai,Stifter,F,1992-03-08
498515,1955-04-12,Yuchang,Narlikar,M,1995-08-09
498514,1955-03-22,Piyawadee,Farris,M,1988-08-13
498513,1964-10-01,Chirstian,Mahmud,M,1992-06-03
498512,1960-10-21,Gil,Dahlbom,M,1989-04-04
498511,1952-09-13,Xinyu,Serov,F,1993-01-18
498510,1956-08-15,Shih,Litvinov,F,1985-04-12
498509,1954-05-31,Chandrasekaran,DeMori,M,1989-01-18
498508,1961-12-17,Stevo,Debuse,M,1991-02-28
498507,1960-09-24,Perla,Delgrange,M,1989-12-08
498506,1953-07-20,Barun,Dalton,M,1994-04-16
498505,1961-08-18,Oscar,Mondadori,M,1987-10-18
498504,1962-06-05,Mario,Marwedel,M,1989-11-24
498503,1957-12-19,Brigham,Koshiba,F,1992-02-18
498502,1954-12-17,Parviz,Klassen,F,1993-10-26
498501,1961-01-20,Rayond,Hammerschmidt,M,1986-08-18
498500,1961-10-05,Kotesh,Buchter,M,1985-09-13
498499,1955-06-16,Gal,Coorg,M,1988-05-22
498498,1959-01-09,Billur,Mahmud,M,1987-05-21
498497,1960-05-27,Kiyotoshi,Ibel,F,1991-04-04
498496,1952-05-13,Uwe,Michaeli,M,1993-04-06
498495,1956-09-20,Hitomi,Kaminger,M,1989-09-23
498494,1955-02-26,Mack,Orlowska,M,1985-04-01
498493,1964-11-08,Arra,Flexer,F,1986-09-29
498492,1955-12-30,Shushma,Mitsuhashi,M,1989-10-28
498491,1954-03-21,Magy,Trachtenberg,M,1993-03-19
498490,1952-09-14,Nevin,Tsukune,F,1990-03-14
498489,1953-05-22,Khun,Bernatsky,M,1990-01-11
498488,1961-09-17,Kotesh,Pokrovskii,M,1988-08-26
498487,1958-02-04,Naraig,Kavraki,M,1988-05-27
498486,1960-09-11,Kaijung,Akazan,M,1993-09-22
498485,1952-11-04,Xiaoqiang,Anger,M,1986-11-12
498484,1963-09-05,Yuriy,Ferriere,M,1991-09-28
498483,1954-11-01,Sivanarayana,Gornas,M,1991-02-05
498482,1954-07-24,Percy,Syrotiuk,F,1991-06-14
498481,1954-09-02,Kristof,Jansch,F,1991-07-19
498480,1953-04-22,Aran,Kenevan,M,1995-02-24
498479,1958-03-05,Otilia,Driscoll,F,1998-06-20
498478,1953-06-26,Kwee,Feldmann,F,1988-08-11
498477,1954-11-02,Conrado,Merro,M,1985-10-10
498476,1956-10-13,Ipke,Birta,F,1986-12-06
498475,1954-02-24,Lansing,Zykh,M,1989-09-01
498474,1953-09-13,Sajjan,Negoita,M,1985-12-17
498473,1963-01-09,Arie,Alpay,F,1986-11-23
498472,1960-01-15,Kensyu,DuCasse,M,1990-04-02
498471,1960-04-07,Siddarth,Hedayat,F,1990-01-14
498470,1957-10-02,Khalid,Basagni,F,1988-12-16
498469,1957-04-05,Thanasis,Winter,M,1988-01-23
498468,1959-12-26,Boalin,Gelosh,F,1986-06-18
498467,1964-12-20,Rutger,Lunn,M,1994-08-11
498466,1952-07-23,Gal,Prampolini,M,1995-08-31
498465,1960-07-18,Goetz,Swen,M,1990-12-26
498464,1953-10-17,Shunichi,Eppinger,M,1985-03-17
498463,1955-04-04,Vasiliy,Vilarrasa,F,1987-03-21
498462,1953-10-20,Renny,Iisaku,M,1986-07-19
498461,1958-05-20,Hironobu,Zwicker,F,1986-02-09
498460,1961-11-06,Miyeon,Morrin,M,1990-05-27
498459,1952-12-23,Filipe,Vernadat,M,1989-10-09
498458,1955-02-12,Feiyu,Bridgland,F,1989-01-12
498457,1964-03-30,Younwoo,Niizuma,M,1986-05-12
498456,1965-01-17,Geraldo,Gerteisen,M,1987-06-05
498455,1964-08-30,Christfried,Covnot,F,1990-07-13
498454,1954-03-31,Sushant,Kawashima,M,1986-05-02
498453,1962-11-30,Ravishankar,Chinal,F,1997-02-18
498452,1964-01-14,Bojan,Cochrane,F,1986-06-11
498451,1953-11-24,Sukumar,Hasenauer,M,1985-07-02
498450,1953-05-19,Abdulah,Gammage,F,1988-11-07
498449,1956-03-11,Mori,Asser,F,1985-02-02
498448,1962-01-31,Sariel,Cooley,F,1989-12-27
498447,1953-04-02,Naftaly,Werthner,M,1988-06-06
498446,1960-08-19,Yuping,Schieder,F,1986-09-20
498445,1964-02-29,Uwe,Simkin,M,1989-01-19
498444,1952-03-08,Divine,Kornatzky,M,1991-05-30
498443,1958-05-11,Weiye,Papadias,M,1986-07-09
498442,1956-09-12,Gregory,Nilsson,F,1989-12-05
498441,1963-01-17,Serenella,Neiman,F,1988-04-22
498440,1964-04-18,Aral,Gaughan,F,1992-08-05
498439,1954-05-17,Sibyl,Birrer,M,1989-12-14
498438,1963-08-20,Fox,Unno,M,1994-06-08
498437,1952-03-07,Hitofumi,Schaft,F,1986-05-18
498436,1952-06-20,Shaowei,Keohane,M,1985-07-30
498435,1961-04-05,Masamitsu,Thibadeau,F,1989-02-20
498434,1955-09-06,Tua,Zaiane,F,1985-12-06
498433,1960-12-22,Leandro,Jansen,M,1987-05-19
498432,1957-01-21,Hailing,Siprelle,F,1985-02-22
498431,1961-05-11,Mohammed,Bahk,M,1987-09-27
498430,1958-03-17,Kensyu,Hooghiemstra,M,1994-10-03
498429,1963-08-08,Bedrich,Lakshmanan,F,1986-06-18
498428,1964-01-18,Mats,Raney,M,1994-05-16
498427,1964-08-26,Lorien,Schade,F,1986-02-12
498426,1962-10-03,Chuanyi,Tsukune,F,1986-09-26
498425,1961-05-22,Hsiangchu,Arlazarov,F,1990-07-14
498424,1959-02-08,Bernardo,Zschoche,M,1995-09-24
498423,1960-08-26,Yuichiro,Peng,M,1993-01-10
498422,1961-05-23,Qingxiang,McConalogue,M,1990-03-17
498421,1958-01-29,Rayond,Scharstein,F,1989-07-19
498420,1963-11-11,Shakhar,Lovengreen,F,1988-05-31
498419,1960-04-25,Mahendra,Riefers,F,1985-06-14
498418,1962-08-31,Houman,Larfeldt,F,1992-10-28
498417,1959-12-10,Manton,Roison,M,1986-12-26
498416,1959-06-17,Kyoichi,Ghalwash,F,1986-12-03
498415,1952-07-09,Lene,Vieth,F,1987-11-05
498414,1958-08-10,Sungwon,Takanami,M,1987-06-26
498413,1959-08-05,Yolla,Akiyama,F,1994-10-24
498412,1962-07-16,Chinho,Hagimont,M,1987-03-01
498411,1960-08-22,Khatoun,Reutenauer,F,1990-04-24
498410,1960-05-30,Janalee,Rousseau,M,1987-11-01
498409,1954-09-04,Abdelwaheb,Danecki,M,1993-10-07
498408,1964-04-14,Yuchang,Eldridge,M,1989-03-10
498407,1964-07-01,Christ,Christ,F,1991-10-08
498406,1954-09-14,Shaz,Milicia,M,1994-08-19
498405,1954-12-20,Chenye,Luca,M,1996-11-25
498404,1963-05-14,Salvador,Plesums,F,1989-03-10
498403,1954-06-22,Zejun,Rosca,M,1993-07-17
498402,1953-06-18,Oddvar,Coorg,M,1988-12-20
498401,1956-05-22,Arup,Suessmith,F,1985-08-16
498400,1955-04-04,Lansing,Remmele,F,1996-05-20
498399,1961-11-27,Lobel,Ranon,F,1986-11-10
498398,1958-01-31,Nobuyoshi,Marzano,M,1989-04-28
498397,1955-05-17,Khue,Jiang,M,1988-07-22
498396,1952-07-01,Sachem,Lindenbaum,F,1996-04-10
498395,1953-12-22,Youjian,Foong,M,1985-02-27
498394,1957-03-25,Yinlin,Matheson,F,1991-07-16
498393,1956-06-24,Hatim,Lund,M,1986-08-09
498392,1954-04-18,Xuejia,Lowrie,M,1991-02-10
498391,1953-02-12,Kristina,Lagarias,M,1985-03-19
498390,1963-08-12,Marjo,Giaccio,F,1995-06-29
498389,1953-09-13,Minghong,Bennis,F,1988-10-13
498388,1960-12-25,Chanjung,Range,M,1987-05-28
498387,1963-10-04,Eben,Wossner,M,1985-05-04
498386,1956-02-13,Tsuneo,Speek,M,1986-02-23
498385,1963-11-29,Toshimo,Azulay,M,1990-08-05
498384,1963-09-29,Rafael,Demir,M,1986-04-08
498383,1953-06-05,Heping,Pettey,M,1994-08-17
498382,1964-03-09,Falguni,Stiles,M,1987-10-03
498381,1956-01-13,Constantino,Lichtman,M,1993-09-10
498380,1956-03-13,Nidapan,Ratnaker,M,1990-07-18
498379,1953-10-08,Zhenbing,Pettit,M,1986-09-04
498378,1954-09-08,Gad,Haddadi,F,1988-08-09
498377,1953-01-17,Pintsang,Egerstedt,F,1987-11-30
498376,1957-05-12,Sanjai,Schmittgen,F,1986-02-27
498375,1955-08-29,Vasiliy,Magalhaes,M,1996-01-15
498374,1959-03-04,Mariusz,Shumilov,F,1985-07-26
498373,1956-08-23,Christoph,Rodite,M,1986-11-26
498372,1960-10-20,Fumitaka,Strandh,F,1988-09-10
498371,1959-09-19,Girolamo,Luga,F,1988-02-24
498370,1955-09-08,Kwangsub,Bridgland,M,1990-08-04
498369,1957-06-22,Remco,Erie,F,1991-06-29
498368,1957-09-30,Yoshinari,Speek,F,1985-05-31
498367,1954-11-11,Gay,Pouyioutas,M,1990-05-16
498366,1957-01-23,Richara,Kamble,F,1985-02-10
498365,1963-03-11,Zhiguo,Zweizig,M,1994-01-18
498364,1955-04-26,Jaideep,Rosch,F,1990-12-06
498363,1956-12-21,Goa,Beilner,M,1987-08-19
498362,1955-01-09,Pintsang,Benzmuller,M,1986-10-10
498361,1963-02-01,Mariangiola,Zizka,M,1985-05-19
498360,1952-12-20,Tomokazu,Fioravanti,M,1985-10-15
498359,1960-10-23,Khedija,Gips,M,1990-08-01
498358,1960-01-31,Nobuyoshi,Peltason,M,1985-09-30
498357,1961-02-05,Frazer,Merli,M,1992-07-24
498356,1955-11-08,Patricia,Baba,F,1987-08-31
498355,1963-04-27,Fay,Underwood,M,1986-03-03
498354,1955-12-11,Chriss,Desikan,M,1990-11-25
498353,1959-01-09,Mohan,Validov,F,1987-10-30
498352,1954-08-02,Jordanka,Ebeling,M,1990-06-21
498351,1961-01-17,Barry,Merli,F,1988-06-19
498350,1960-07-24,Jianhua,Rosay,F,1988-12-07
498349,1956-04-10,Shuji,Farrar,M,1995-05-19
498348,1959-10-01,Halsur,Servi,M,1990-03-31
498347,1957-11-25,Alagu,Socorro,M,1988-05-07
498346,1955-12-12,Leucio,Mateescu,M,1991-07-28
498345,1962-04-16,Shaleah,Peha,M,1987-05-02
498344,1956-04-30,Filipe,Servi,M,1998-12-17
498343,1956-09-26,Kwangho,Fetvedt,F,1997-08-16
498342,1956-05-02,Sasan,Yoshizawa,M,1987-03-21
498341,1952-08-12,Masali,Heping,M,1988-03-14
498340,1961-12-23,Sham,Merle,M,1985-07-14
498339,1961-04-12,Naraig,Aingworth,F,1989-11-24
498338,1954-03-24,LiMin,Jayawardene,F,1994-12-31
498337,1965-01-30,Naraig,Docker,F,1997-05-17
498336,1959-02-16,Anoosh,Hebert,M,1990-12-18
498335,1962-08-24,Krassimir,Masamoto,M,1995-12-23
498334,1956-07-05,Joydip,Barriga,F,1987-10-28
498333,1957-12-30,Suvo,Rosenbaum,M,1988-04-12
498332,1962-09-10,Adin,Reinhard,M,1986-02-07
498331,1961-06-24,Jasminko,Pashtan,M,1989-05-03
498330,1952-09-14,Adin,Egerstedt,M,1990-10-13
498329,1952-03-03,Doohun,Tyugu,F,1996-04-24
498328,1958-03-24,Randy,Piveteau,M,1990-03-20
498327,1956-10-31,Tomoyuki,Yeung,F,1988-09-20
498326,1952-04-17,Magy,Prenel,M,1992-12-16
498325,1959-09-14,Nimmagadda,Denna,F,1994-08-18
498324,1954-04-01,Wonhee,Vecchi,F,1989-05-31
498323,1959-05-09,Sanjai,Syrotiuk,F,1998-12-28
498322,1952-11-12,Kazunori,Billingsley,F,1989-02-21
498321,1956-11-26,Aruna,Kavvadias,M,1987-07-01
498320,1960-08-02,Mitsuyuki,Lorin,M,1992-01-27
498319,1964-01-15,Jinpo,Harbusch,F,1986-03-05
498318,1960-10-12,Palash,Francisci,M,1986-09-29
498317,1956-06-08,Shrikanth,Falco,F,1993-05-18
498316,1957-07-14,Huei,Schnabel,F,1987-06-19
498315,1954-09-22,Erez,Dehkordi,M,1991-12-29
498314,1954-01-10,Zita,Liesche,F,1988-09-09
498313,1958-08-20,Yurii,Dayang,F,1986-03-06
498312,1960-11-03,Giao,Lung,M,1991-09-06
498311,1952-10-20,Rajmohan,Zeidenstein,M,1987-04-04
498310,1953-11-03,Arve,Luiz,M,1989-09-05
498309,1955-06-06,Stafford,Tsukuda,F,1990-08-07
498308,1959-06-24,Akemi,Choobineh,F,1993-02-15
498307,1958-02-04,Serge,Bergere,M,1987-05-05
498306,1961-09-26,Conrado,Guerreiro,M,1989-10-14
498305,1960-08-18,Ibibia,Piazza,M,1985-03-20
498304,1963-06-19,Macha,Quittner,F,1987-01-16
498303,1957-09-28,Rance,Swiler,F,1991-02-25
498302,1955-07-29,Kish,Pettit,M,1994-11-28
498301,1963-04-09,Hironoby,Asmuth,M,1989-05-15
498300,1958-01-21,Berhard,Fordan,M,1996-08-20
498299,1959-11-24,Tsz,Marrakchi,M,1988-07-03
498298,1953-05-29,Debaprosad,Furedi,M,1990-03-15
498297,1953-10-29,DAIDA,Dolinsky,F,1998-06-13
498296,1959-12-15,Hausi,Olivero,M,1995-09-19
498295,1957-08-05,Chirstian,Luef,M,1990-12-18
498294,1957-12-05,King,Gonthier,M,1991-10-14
498293,1963-06-07,Yonghong,Kitsuregawa,F,1985-03-24
498292,1960-03-20,Zita,Morrow,M,1987-09-11
498291,1961-07-23,Eishiro,Iwayama,M,1987-09-21
498290,1959-06-06,Fay,Verspoor,F,1988-07-30
